candidate_lat,candidate_lon,nearest_existing_km,best4_median_hrmse_0_25us_m,best4_p90_hrmse_0_25us_m,worst4_p90_hrmse_0_25us_m,full5_p90_hrmse_0_25us_m,best4_under_1km_fraction,inside_5rx_hull_fraction,four_visible_350km_fraction,five_visible_350km_fraction,is_mongcai,composite_score
19.2,108.9,160.92944726658436,149.68126714182267,402.62687376592135,4227.803023849225,388.4215650715374,0.974937343358396,0.2506265664160401,0.8120300751879699,0.49874686716791977,False,74.64391691394658
17.4,108.9,328.05441544391033,120.06909994488012,392.75303828911234,2353.9222944135095,376.003967817162,0.9849624060150376,0.3508771929824561,0.7042606516290727,0.2706766917293233,False,74.5845697329377
17.7,108.0,272.00696133645283,140.67632685903473,419.314738112683,2133.657495581077,411.4568404171591,0.9799498746867168,0.2656641604010025,0.7192982456140351,0.41102756892230574,False,74.51038575667656
17.4,108.3,309.79990580098814,128.85469406512746,404.7085180295044,2162.2963633351615,395.10249736752786,0.9824561403508771,0.3032581453634085,0.7092731829573935,0.3283208020050125,False,74.28783382789318
18.6,108.9,210.32719863569082,131.83379851829727,385.5095519767002,3075.1040260057903,371.08433732036895,0.974937343358396,0.2807017543859649,0.7619047619047619,0.43609022556390975,False,74.28783382789317
18.6,109.2,230.19422338532434,129.68239850469584,386.8704954383808,3328.279592073719,370.088266076806,0.9774436090225563,0.3007518796992481,0.7543859649122807,0.38847117794486213,False,73.85756676557862
17.4,108.0,289.9911244862319,139.86819406889487,418.76486383217497,2141.3525994119254,411.0026530647245,0.9824561403508771,0.2781954887218045,0.7117794486215538,0.3483709273182957,False,73.64985163204749
18.0,109.5,301.71527825181164,117.34472626027555,383.41769664397765,2951.8635388351167,368.2616895193441,0.9924812030075187,0.3458646616541353,0.7117794486215538,0.2807017543859649,False,73.41246290801186
18.0,108.0,238.86175195774203,144.75912193732498,436.2061514922156,2141.3525994119254,427.1496546599544,0.974937343358396,0.2531328320802005,0.731829573934837,0.46115288220551376,False,72.49258160237389
18.6,109.5,252.43187371849766,125.29213619205781,383.2921940841288,3862.319316038088,365.8066790631805,0.9774436090225563,0.3057644110275689,0.7443609022556391,0.3433583959899749,False,72.35905044510386
19.5,108.9,141.6567174897622,160.56388114503824,410.6846237115525,4985.589826755087,395.5841120884334,0.9724310776942355,0.22556390977443608,0.8195488721804511,0.5238095238095238,False,72.3145400593472
21.3,105.3,255.4781342859829,163.96743839472154,526.2580244584984,3495.2931299608763,506.9965154517358,0.9799498746867168,0.2832080200501253,0.8295739348370927,0.5588972431077694,False,72.13649851632047
18.9,108.9,184.26951808914072,140.0178595746132,396.2444542958323,3433.59392639169,377.5857210004407,0.9699248120300752,0.2606516290726817,0.7944862155388471,0.46616541353383456,False,72.00296735905044
19.5,109.2,169.61800613698375,151.80238707469314,418.09460846838164,4710.371489757814,403.59117856597334,0.9724310776942355,0.24310776942355888,0.8120300751879699,0.46867167919799496,False,71.70623145400594
21.6,105.3,256.1090834931356,149.2023145036754,505.8602767646521,3850.3329509063606,497.46959286719414,0.9799498746867168,0.2932330827067669,0.8220551378446115,0.5263157894736842,False,71.64688427299704
21.0,105.3,251.8874018930835,178.54337768088226,540.8289666532849,3356.1298320560877,521.1175084017977,0.9799498746867168,0.2656641604010025,0.8345864661654135,0.5889724310776943,False,71.49851632047476
17.7,107.7,245.66756816998657,152.14264100938982,430.5477968055826,2177.5152733659133,418.18881550462953,0.9799498746867168,0.23558897243107768,0.7192982456140351,0.43358395989974935,False,71.42433234421365
18.9,109.2,206.61847585492228,134.64335888245603,395.63698723833556,3775.578990430763,378.7604746957152,0.9724310776942355,0.2756892230576441,0.7744360902255639,0.42355889724310775,False,71.29080118694361
19.2,109.2,186.0595524603432,143.9932593451959,407.27790589955595,4298.669065499579,390.61723838485716,0.974937343358396,0.2581453634085213,0.7994987468671679,0.44360902255639095,False,70.83086053412461
17.4,107.7,263.45403074953623,147.37389070276205,432.1009512845098,2225.9523404332767,420.9804534097955,0.9799498746867168,0.24561403508771928,0.7142857142857143,0.37092731829573933,False,70.68249258160238
19.8,109.2,158.5797194537813,166.40629543441463,423.58521420038613,4647.311189657632,407.7059758511494,0.9699248120300752,0.22055137844611528,0.8195488721804511,0.48120300751879697,False,70.60830860534124
18.6,108.6,193.56220520654077,136.64722368044667,399.2281701717089,2785.715358134943,374.6651165385071,0.9624060150375939,0.2581453634085213,0.7719298245614035,0.47619047619047616,False,70.56379821958457
18.3,108.3,212.51485723684542,138.22109266527252,420.8337162577653,2569.626366433731,410.2140331067148,0.9674185463659147,0.2581453634085213,0.7568922305764411,0.47619047619047616,False,70.47477744807122
19.2,109.5,212.86476600497352,140.50538459386522,410.9327558907334,4207.081487998731,395.77935695488674,0.974937343358396,0.2681704260651629,0.7844611528822055,0.39849624060150374,False,70.34124629080118
18.9,109.5,231.09338524538015,130.91523594184338,398.1120878555593,4008.8984995847622,375.9604371668263,0.9724310776942355,0.2857142857142857,0.7669172932330827,0.37092731829573933,False,70.0593471810089
19.2,108.6,138.39012066862628,158.97929648673156,430.005822647389,4138.699899124419,408.8645813165934,0.9649122807017544,0.22556390977443608,0.8220551378446115,0.5413533834586466,False,69.70326409495549
21.9,104.4,351.5436962200234,120.96609291272186,488.6024396973179,3402.6802224613034,486.66607478389204,1.0,0.37844611528822053,0.7393483709273183,0.37092731829573933,False,69.61424332344214
